Event Title	Name of Company	City or Town of Origin	State of Origin	Country of Origin	Venue	Genre	Categories	Show Rating	Running Time	Audience Interaction	Nudity	Foul Language	Strobe Effects	Ticket Price	Short Blurb (175 Characters)	Long Blurb (450 Characters)	Facebook	Instagram	Twitter	Website	Your 2019 Orlando Fringe Schedule	Discount Tickets	One Time $6 Show Ticket	Event Input	Performances Input	Event Number	Event Landing
Campfire	Kara Brown	Orlando	FL	UNITED STATES	Loch Haven Park under trees adjacent to Orlando Rep	Theatre	Storytelling,Theatre,Interactive,Sight Specific,Immersive Improvised	13 and up	50	YES	NO	NO	No strobe effects	0	Camp is in session! Gather around the fire with your favorite counselors for an interactive and improvised night of storytelling.	Don't forget your flashlights and bug spray, because camp is in session! Come gather around the campfire as our rag-tag pack of counselors regale you with tales of summers past in this immersive, interactive and improvised night of storytelling.	CampfireImprovShow	campfire.improvshow	Campfire_Improv		Thursday, May 16th - 8:30pm Friday, May 17th- 8:30pm & 10:30pm Saturday, May 18th - 8:30pm & 10:30pm Sunday, May 19th- 8:30pm Monday, May 20th- 8:30pm Tuesday, May 21st- 8:30pm Wednesday, May 22nd 8:30pm Thursday, May 23rd 8:30pm Friday, May 24th 8:30pm & 10:30pm Saturday, May 25th 8:30pm & 10:30pm Sunday, May 26th 8:30pm			Tempestt 3/12		369	http://orlandofringe.showare.com/eventperformances.asp?evt=369
Candles in the Dark	Equal Play	Orlando	FL	UNITED STATES	Blue	Theatre	Devised,Controversial,Feminist,Drama,Debut	18 and up	60	NO	NO	YES	No	12	Brave, anonymous accounts of sexual abuse and assault, written by local survivors. Proceeds to benefit the Victim Service Center (VSC) of Central Florida.	Brave, anonymous accounts of sexual abuse and assault - written by local survivors. Hear the powerful, hopeful words of these Central Florida women and men. Until now, these survivors among us have remained silent. Join Equal Play as we empower and support survivors throughout our Orlando community. Proceeds to benefit the nonprofit Victim Service Center (VSC) of Central Florida, which provides free healing services in the tri-county area.	https://www.facebook.com/pg/candlesinthedarkorlando/				Wednesday, May 15th 6:00 PM Thursday, May 16th 9:00 PM Saturday, May 18th 5:00 PM Wednesday, May 22nd 6:00 PM Thursday, May 23rd 7:45 PM Friday, May 24th 6:45 PM Saturday, May 25th 12:45 PM			Tempestt 3/12		370	http://orlandofringe.showare.com/eventperformances.asp?evt=370
Chris Turner: Raps	Chris Turner	Manchester	Manchester	UNITED KINGDOM - ENGLAND	Gold	Comedy	Stand Up,Comedy,World Premiere Experimental,One Person Show,Award Winning Production Company	13 and up	60	YES	NO	YES	NO	12	A one-man musical comedy spectacular. Hilarious stand-up and jaw-dropping freestyle rap from 'a virtuoso...a hip-hop machine' (Guardian). Patrons' Pick 2018. ***** (EdFestMag)	A one-man comedy and hip-hop spectacular. Hilarious stand-up, jaw-dropping freestyles, dextrous raps, finger-snapping poetry, and head-nodding musical interludes from UK improv sensation, Chris Turner. Patrons' Pick winner ('Turner's Masterpieces', 2018). 'A virtuoso...a hip-hop machine' (Guardian). 'The Fringe holy grail...mind-bendingly flawless...book this show in advance - it is sure to be a sellout' ***** (Edinburgh Festivals Magazine)	christurnercomedy	christurnercomedy	chrispjturner	christurnercomedy.com	Friday, May 17th 11:00 PM Saturday, May 18th 8:45 PM Sunday, May 19th 3:15 PM Tuesday, May 21st 6:30 PM Friday, May 24th 10:15 PM Saturday, May 25th 9:00 PM	Fringe Artist,Fringe Volunteer,Student	Friday 17th 11pm	Tempestt 3/12		371	http://orlandofringe.showare.com/eventperformances.asp?evt=371
Church of Saint Bearer	Renie and Rob Productions	Altamonte Springs	FL	UNITED STATES	Yellow Venue	Theatre	Theatre,Interactive,Controversial,Thriller,Award Winning Production Company	18 and up	60	YES	NO	YES	NO	11	From the writer and director of Enter, Pursued by a Whale comes an immersive horror show. Join the Church of Saint Bearer congregation - if you dare.	The writer and director of Orlando Fringe 2018's Best Original Script returns this year with an immersive horror production that brings audiences into the church of a fictional religion. One priest will struggle to hold his congregation - and his faith - together as the undead slowly claw their way inside. With what looks like a zombie apocalypse upon them, Church of Saint Bearer members watch their foundation of reality crack.	ChurchofSaintBearer	churchofsaintbearer	BearerSaint		Thursday, May 16th        7:15 PM Saturday, May 18th        9:15 PM Wednesday, May 22nd        7:15 PM Friday, May 24th        5:30 PM Saturday, May 25th        3:30 PM Sunday, May 26th        10:45 PM	Fringe Artist,Fringe Volunteer,Student,Senior,Military,Theme Park Employee		Tempestt 3/12		372	http://orlandofringe.showare.com/eventperformances.asp?evt=372
Clown Bar	Breakthrough Theatre of Winter Park	Winter Park	FL	UNITED STATES	BYOV - Breakthrough Theatre of Winter Park	Play	Comedy,Theatre,Burlesque,Thriller,Black Comedy	13 and up	60	NO	NO	YES	No	12	A clown noir play about a former clown named Happy who has returned to the seedy underground crime world to find his brother's killer.	A clown noir play about a former clown named Happy who has returned to the seedy underground crime world to find his brother's killer.   Happy's junkie brother Timmy is found dead. Now Happy must return to his former life as a clown to ask a few questions. But will Happy be able to go home again without getting sucked into the seedy clown underbelly of vice and violence?				www.breakthroughtheatre.com	Thursday, May 16th 6:50 PM Saturday, May 18th 11:35 PM Sunday, May 19th 3:00 PM Tuesday, May 21st 6:50 PM Friday, May 24th 6:50 PM Saturday, May 25th 10:00 PM Sunday, May 26th 7:45 PM			Tempestt 3/12		373	http://orlandofringe.showare.com/eventperformances.asp?evt=373
Coconuts, Coral, and Cow Shit	Sara Kunz	Kona	HI	UNITED STATES	Green	Theatre	Storytelling,Theatre,One Person Show,Physical Theatre,First Time Writer New Company	18 and up	45	YES	NO	YES	no	8	A hilarious look at mental health, adventure, and bad life choices.   On a Hawaiian hike in hopes of recovering her mental health, Sara finds a challenge no one expected.	A hilarious look at mental health, adventure, and bad life choices.   On a hiatus from her circus career, Sara goes to Hawaii as she tries to recover her mental health. She sets out to conquer a ferocious Hawaiian hilltop hike in an attempt to be stronger than her anxiety, and is met with surprises and blunders along the way that spark a new adventure she never saw coming.	fb.me/coconutscoralandcowshit	sara_kunz_circus		www.sarakunz.com	Wednesday, May 15th 8:45 PM Thursday, May 16th 9:30 PM Friday, May 17th 5:30 PM Saturday, May 18th 2:00 PM Sunday, May 19th 6:15 PM Monday, May 20th 5:45 PM	Fringe Volunteer,Military,Theme Park Employee	5/15/2019 8:45	Tempestt 3/12		374	http://orlandofringe.showare.com/eventperformances.asp?evt=374
The Complete History of Drag in a Few Mo-mo	Apt 3F	LOS ANGELES	CA	UNITED STATES	BYOV- Rainbow Venue at The Center	Theatre	Storytelling,LGBT,Theatre,One Person Show,Drag	13 and up	90	NO	NO	YES	no	10	Memories play and stray. Backstage at a drag show, Auntie teaches a newbie her fabulous lineage, a resilient race of glitter, tucking and throat throttling reality.	History is a Drag. Part anecdotal memory, part history lesson and part foundation for a  better tomorrow. In this play, Auntie, an aging drag queen, sits backstage with a newbie-queen and bequeaths to her the legacy of a people. Auntie recounts her own ridiculousness coming of age in NYC in the 90’s, meeting Quentin Crisp, having her nails done, and getting bashed.	/apt3f/	APT3F		historyofdrag.com	Friday, May 17th 7:30 PM Saturday, May 18th 3:45 PM Sunday, May 19th 3:00 PM Thursday, May 23rd 8:15 PM Friday, May 24th 6:00 PM Saturday, May 25th 8:00 PM Sunday, May 26th 7:15 PM	Fringe Artist,Fringe Volunteer,Student,Senior,Military,Theme Park Employee	Saturday, May 18th 3:45 PM	Tempestt 3/12		375	http://orlandofringe.showare.com/eventperformances.asp?evt=375
Corsets and Cuties: Celebrate	Corsets and Cuties, LLC	Casselberry	FL	UNITED STATES	BYOV - Black Venue	Dance	LGBT,Comedy,Theatre,Dance,Burlesque	18 and up	60	YES	YES	YES	no	12	It's Fringe #5 for Corsets & Cuties-A Burlesque Cabaret, so let's Celebrate! Bring your dollar bills and join the 3-time Best-Of-Orlando listed Cuties for a "good damn time!"	Fringe veterans Corsets & Cuties have made their home at The Venue since their sold-out debut August 2014. Sponsored by Premier Couples Superstore, the Cuties personally welcome guests and attendees to their shows and the troupe intends to light up the night this May in the Black Venue. With a different guest star each night you never know what's gonna happen with this troupe. Be a part of the Cutie's party and "have a good damn time."	corsetsandcuties	corsetsandcuties		www.corsetsandcuties.com	Friday, May 17th            11:59 PM Saturday, May 18th        10:30 PM Thursday, May 23rd        10:30 PM Saturday, May 25th        11:59 PM	Fringe Artist,Fringe Volunteer,Theme Park Employee		Tempestt 3/12		376	http://orlandofringe.showare.com/eventperformances.asp?evt=376
Crazy For Dick Tricks: A Dirk Darrow Investigation	Tim Motley	Adelaide	Australia	AUSTRALIA	Gold	Magic	Comedy,Theatre,World Premiere Experimental,Award Winning Production Company	13 and up	60	YES	NO	YES	No.	12	ALL NEW, creator of 6 Quick Dick Tricks (????? �Incredible� -Edmonton Journal)  WINNER: 12 Fringe Fest Awards A detective is trapped in a 1935 asylum with one way out: magic! WINNER: 12 Fringe Fest Awards A detective is trapped in a 1935 asylum with one way out: magic!	ALL NEW, creator of 6 Quick Dick Tricks (????? �Incredible� -Edmonton Journal)  WINNER: 12 Fringe Fest Awards A detective is trapped in a 1935 asylum with one way out: magic! WINNER: 12 Fringe Fest Awards  A detective is trapped in a 1930’s asylum with one way out... magic!	detectivedarrow	detectivedarrow	detectivedarrow		Wednesday, May 15th 9:45 PM Saturday, May 18th 7:00 PM Tuesday, May 21st 10:15 PM Friday, May 24th 8:30 PM Saturday, May 25th 12:00 PM Sunday, May 26th 5:00 PM	Fringe Artist,Fringe Volunteer,Student,Senior,Military,Theme Park Employee	Wed 9:45pm	Tempestt 3/12		377	http://orlandofringe.showare.com/eventperformances.asp?evt=377
The Curious Incident of the Dog in the Night-Time	Trinity Prep Players	Winter Park	FL	UNITED STATES	Brown	Theatre	Theatre,Drama	13 and up	55	NO	NO	YES	Yes, when the character of Christopher is experiencing a "melt-down"	6	15 year old Christopher is exceptional at math but ill-equipped to deal with everyday life. He is determined to solve a mystery and in doing so discovers much about his life.	15-year old Christopher has an extraordinary brain: He is exceptional at mathematics but ill-equipped to interpret everyday life. He has never ventured alone beyond the end of his road, he detests being touched, and he distrusts strangers. Christopher is determined to solve the mystery of who murdered his neighbor's dog, Wellington. But his detective work, forbidden by his father, takes him on a thrilling journey that upturns his world.	https://www.facebook.com/events/301291870513462/	https://www.instagram.com/janinepapin/	https://twitter.com/janinepapin	trinityprep.org	Friday, May 17th 5:30 PM Saturday, May 25th 8:45 PM Sunday, May 26th 1:15 PM			Tempestt 3/12		378	http://orlandofringe.showare.com/eventperformances.asp?evt=378
Dandy Darkly's All Aboard!	Dandy Darkly	Brooklyn	NY	UNITED STATES	Green	Theatre	Storytelling,LGBT,One Person Show,Satirical,Award Winning Production Company	18 and up	60	NO	NO	YES	No	12	Resplendent storyteller Dandy Darkly serves up another audacious hour of critically acclaimed Southern Gothic grotesquery. The less you know, the better. "Go. See. Dandy!"	"Where were you the night the Gaybird Steamer ran off her tracks?" Resplendent storyteller Dandy Darkly serves up another audacious hour of hypnotic Southern Gothic grotesquery: creepy robots, African spider gods, beauty shop gossip and inbred redneck freaks. Oh, also trains! Named a top performance of the Edinburgh Fringe (The Stage) and winner of "Best Show" at the San Francisco Fringe. The less you know, the better. Simply "Go. See. Dandy!"	dandydarkly	dandydarkly	dandydarkly	www.dandydarkly.com	Friday, May 17th 8:45 PM Saturday, May 18th 10:45 PM Sunday, May 19th 2:15 PM Wednesday, May 22nd 9:00 PM Saturday, May 25th 9:00 PM Sunday, May 26th 2:45 PM	Fringe Artist,Fringe Volunteer	Sunday, May 19th 2:15 PM	Tempestt 3/12		379	http://orlandofringe.showare.com/eventperformances.asp?evt=379
Daphne and Me: A Boy Meets Girl Story.	That One Guy Productions	Orlando	FL	UNITED STATES	BYOV- Rainbow Venue at The Center	Theatre	LGBT,Theatre,One Person Show,Drag	18 and up	60	YES	NO	YES	No	12	A one (wo)man show about who you love, who you are, and who you long to be. Together, Daphne & BeeJay learn that sometimes to find yourself, you've gotta become someone else.	A one (wo)man show about who you love, who you are, and who you long to be. Uniting the arts of drag and storytelling, Daphne (with BeeJay hovering just beneath the surface) chronicles the pitfalls and triumphs of a gay man from rural Missouri as he discovers that sometimes, to find yourself, you've gotta become someone else.	https://www.facebook.com/events/559221044546492/?ti=icl	www.instagram.com/daphnefringe			Friday, May 17th        9:30 PM Saturday, May 18th        8:30 PM Sunday, May 19th        6:30 PM Thursday, May 23rd        6:45 PM Friday, May 24th        10:45 PM Saturday, May 25th        6:30 PM Sunday, May 26th        3:00 PM			Tempestt 3/11		380	http://orlandofringe.showare.com/eventperformances.asp?evt=380
Death Face	Wicked Tongue Arts	Orlando	FL	UNITED STATES	Green	Play	Comedy,Theatre,Black Comedy,Drama,Award Winning Production Company	18 and up	60	NO	NO	YES	Yes	10	When a killer new app enables the American public to have their bad news delivered door-to-door, one courier is about to take a job that will rock his life forever.	When a killer new app enables the American public to have their bad news delivered door-to-door, one courier is about to take a job that will rock his life forever. From the minds behind 2018 Patron's Pick Winner 'FLIP' and 'Anne Frankenstein' arrives a morbid, laugh-out-loud original comedy where misfortune comes in every flavor. Starring Jerry Jobe Jr, Leigh Green, Cassandra Heinrich, Adam McCabe, and Brett McMahon.	AdamMcCabePresents				Friday, May 17th 10:30 PM Saturday, May 18th 9:00 PM Monday, May 20th 9:00 PM Tuesday, May 21st 11:30 PM Friday, May 24th 9:00 PM Saturday, May 25th 12:00 PM Sunday, May 26th 8:30 PM			Tempestt 3/12		381	http://orlandofringe.showare.com/eventperformances.asp?evt=381
Didn't Hurt	Tonic Theatre	Vancouver	British Columbia	CANADA	Pink	Theatre	Storytelling,Theatre,One Person Show,Debut	13 and up	75	NO	NO	YES	no	12	Award winning poet and musician Rodney Decroo tells the story of growing up hard, and how he learned to heal.   Dramaturged and directed by TJ Dawe	Award winning singer/songwriter and poet Rodney Decroo tells the story of learning to be tough from his Vietnam War veteran dad, and how he untangled himself from violence.   "Few artists risk attempting it: turning something profoundly and deeply painful into a work of transformative beauty." - The Georgia Straight  "DeCroo is an unassuming yet mesmerizing performer" - Winnipeg Free Press  Dramaturged and directed by TJ Dawe.	https://www.facebook.com/rodney.decroo	@rodneydecroo	@decroorodney	www.rodneydecroo.com	Thursday, May 16th 9:00 PM Friday, May 17th 5:30 PM Saturday, May 18th 3:15 PM Tuesday, May 21st 9:45 PM Thursday, May 23rd 7:15 PM Saturday, May 25th 11:30 AM Sunday, May 26th 4:30 PM			Tempestt 3/12		382	http://orlandofringe.showare.com/eventperformances.asp?evt=382
The DK Effect: Overconfident and Underqualified	DK Reinemer	Portland	OR	UNITED STATES	BYOV- Starlite Room @ Savoy	Comedy	Stand Up,Sketch Show,Comedy,One Person Show,Award Winning Production Company	13 and up	60	YES	NO	YES	No	12	Confidence=ignorance=comedy. The DK effect is a�cognitive bias�in which unskilled people mistakenly assess their ability to be higher than it is. This is the best show blurb.	Confidence equals ignorance equals a bizarro new comedy show from comedian DK Reinemer (Becoming Magic Mike, Help I"m American). The DK Effect�is a�cognitive bias�in which relatively unskilled persons suffer illusory superiority, mistakenly assessing their ability to be much higher than it really is. I am the best at writing show blurbs. Hilarious.  "Cool as a Cucumber Award"- Orlando Fringe 2018 "Outstanding Artist Award" - Calgary Fringe 2017	@dkreinemercomedy	@dkreinemer	@dkreinemer	www.dkreinemer.com	Friday, May 17th 9:05 PM Saturday, May 18th 2:20 PM Sunday, May 19th 10:00 PM Tuesday, May 21st 11:00 PM Wednesday, May 22nd 6:00 PM Saturday, May 25th 7:05 PM Sunday, May 26th 4:15 PM			Tempestt 3/12		383	http://orlandofringe.showare.com/eventperformances.asp?evt=383
Does That Make Sense	DaSa	Winter Park	FL	UNITED STATES	BYOV- Black Venue	Dance	Dance,Debut	13 and up	50	NO	NO	NO	No	12	Through powerful music and dance, this show will take a look into the ever-changing emotions that people go through in a day, a week, or even a lifetime.	Through powerful music and dance, this show will take a look into the ever-changing emotions that people go through in a day, a week, or even a lifetime. With our love of ballet, contemporary, lyrical and other styles of dancing, we are telling the story not only of us, but of everyone. Dance, music, community, friendship, love. It's what helps us through. Does that make sense?	https://www.facebook.com/Does-That-Make-Sense-Darci-and-Sarahs-2019-Fringe-Festival-Show-2315498958772755/				Sunday, May 19th 3:00 PM Thursday, May 23rd 7:30 PM Saturday, May 25th 1:30 PM			Tempestt 3/12		384	http://orlandofringe.showare.com/eventperformances.asp?evt=384
Driving Miss Cherry Blossom	Eric Pinder	Orlando	FL	UNITED STATES	BYOV- Starlite Room @ Savoy	Comedy	Comedy,2 Hander,Award Winning Production Company	18 and up	60	NO	NO	YES	No	12	An elderly Japanese woman and a young, privileged American form a bond in Eric Pinder's acclaimed bittersweet comedy. "Funny and poignant, it's a real gem" A Sentinel Best Bet	Eric Pinder's acclaimed bittersweet comedy about art, large American cars, and a temple monkey "Driving Miss Cherry Blossom" returns to Orlando Fringe for the first time since 2004. Pinder, a Fringe mainstay, and author of such hits as "Waiting For Napoleon" and "Skip Peril" and Karin Amano ("Sushi In The City") portray various characters on this journey of discovery. "Funny and poignant, it's a real gem" An Orlando Sentinel "Best Bet"					Thursday, May 16th 9:15 PM Saturday, May 18th 7:35 PM Sunday, May 19th 8:20 PM Tuesday, May 21st 6:00 PM Saturday, May 25th 12:40 PM Sunday, May 26th 7:35 PM			Tempestt 3/12		385	http://orlandofringe.showare.com/eventperformances.asp?evt=385
The Erroneous Moby Dick	NCTC Drama	Gainesville	TX	UNITED STATES	BYOV- Starlite Room @ Savoy	Comedy	Comedy,Theatre,Satirical	13 and up	60	YES	NO	NO	No	12	Come and join Captain Ahab's madcap crew on an uproarious voyage across the high seas of hilarity in this four actor production of Herman Melville's classic comedy masterpiece	NCTC Drama presents The Erroneous Moby Dick, a comedy adaptation of Herman Melville's hilarious masterpiece. Four actors portray the varous characters of this whaling classic. The audience will follow Ishmael as he arrives in New Bedford at the beginning of his whaling voyage and meets a wild collection of characters from the cannibal, Queequeg , the first mate, Starbuck, and of course Captain Ahab. Come and join them all on board the Peqoud.				www.erroneousmobydick.com	Thursday, May 16th 10:55 PM Saturday, May 18th 11:00 AM Monday, May 20th 7:40 PM Wednesday, May 22nd 7:40 PM Friday, May 24th 11:00 PM Saturday, May 25th 2:20 PM Sunday, May 26th 11:00 AM	Fringe Artist,Fringe Volunteer,Student,Senior,Theme Park Employee	Saturday, May 18 at 11:00 AM	Tempestt 3/12		386	http://orlandofringe.showare.com/eventperformances.asp?evt=386
Eusha	Shortgirl Productions	Edmonton	Alberta	CANADA	Purple	Theatre	Storytelling,Theatre,One Person Show,Controversial,Drama	13 and up	60	NO	NO	YES	No	12	You've been in an accident, and your nurse Eusha is kind but unsettling. Things begin to take a dark turn as she retreats into her own mind. Will you make it out alive?	It's your worst nightmare. You wake up in pain and don't know where you are or how you got there. Your nurse Eusha is there to care for you. She is lovely and connects with her patients on a deeper level. As you get to know Eusha, something seems unsettling. Your journey takes a dark turn as she retreats further and further into her own mind. Will you make it out alive? **4 1/2 STARS** "Hypnotizing"-Vue Weekly "Haunting Performance"- Edmonton Sun	Shortgirl Productions	elisabenzer	shortgirlprod		Thursday, May 16th 7:00 PM Saturday, May 18th 9:30 PM Sunday, May 19th 8:00 PM Monday, May 20th 10:45 PM Friday, May 24th 9:00 PM Saturday, May 25th 2:30 PM Sunday, May 26th 9:30 PM			Tempestt 3/12		387	http://orlandofringe.showare.com/eventperformances.asp?evt=387
EYE CANDY	Stephanie Morin-Robert	Vancouver	British Columbia	CANADA	Silver	Comedy	Stand Up,Storytelling,Comedy,Theatre,Award Winning Production Company	13 and up	70	YES	YES	YES	No	12	Sharing the stage with her real life baby, Moth Storyslam Champion recounts her pregnancy and epic 56 hour labour as she mines laughs from her most embarrassing sex story yet.	***** ''She tells her story in an intoxicating way - bringing you to a crescendo of laughter, only to knock the wind out of your emotional sails."  Sharing the stage with her real life baby, one-eyed Moth Storyslam Champion recounts her pregnancy and epic 56 hour labour as she mines laughs from her most embarrassing sex story yet.   From the creator of the multi-award winning hit shows BLINDSIDE, THE MERKIN SISTERS and BUSHEL AND PECK.	seewithyoureye1	seewithyoureye	stephanielefty	www.stephaniemorinrobert.com	Friday, May 17th 9:45 PM Sunday, May 19th 8:00 PM Tuesday, May 21st 6:00 PM Wednesday, May 22nd 10:30 PM Friday, May 24th 7:00 PM Saturday, May 25th 1:15 PM Sunday, May 26th 8:15 PM	None		Tempestt 3/12		388	http://orlandofringe.showare.com/eventperformances.asp?evt=388
Feathers and Teeth	Cypress Creek High School	Orlando	FL	UNITED STATES	Yellow	Theatre	Theatre,Farce	13 and up	60	NO	NO	YES	YES at the end	5	A Horror/ Comedy. Chris' mother is dead, and her father's new girlfriend is more than she seems.	A Horror/ Comedy- Chris' mother is dead, and her father, Arthur, has a new girlfriend who is more than she seems. When Arthur runs over a mysterious creature, Chris thinks the fanged and feathered monsters, will help her destroy her step-mother-to-be. Who is guilty, who is innocent, who is the real murderous devil -- and in the face of supernatural hunger, does it even matter?					Sunday, May 19th 2:15 PM Wednesday, May 22nd 5:30 PM Sunday, May 26th 3:15 PM			Tempestt 3/12		389	http://orlandofringe.showare.com/eventperformances.asp?evt=389
Field Guide To Not Being An Asshole	Logan Donahoo	Orlando	FL	UNITED STATES	Purple	Comedy	Stand Up,Comedy,One Person Show,Controversial,Award Winning Production Company	18 and up	60	YES	NO	YES	No	12	Award winning comic Logan Donahoo returns with an ALL NEW stand-up experience!  Part intervention, part TED Talk: Learn how to be a better person in just a few easy steps!	Award winning comic Logan Donahoo returns with an ALL NEW stand-up experience!  Part intervention, part TED Talk: Learn how to be a better person in just a few easy steps!  Come for the free doughnuts, stay for the dirty laughs! Bring a friend that really needs to "see the light!" From the creator of the international hit "Field Guide To The Gays," and local fave "Slut Like Me," comes a show that's as funny as it is important - DO NOT MISS IT!	logandonahoo	logandonahoo	logandonahoo	logandonahoo.com	Wednesday, May 15th 8:30 PM Friday, May 17th 10:15 PM Saturday, May 18th 8:00 PM Monday, May 20th 9:15 PM Wednesday, May 22nd 9:15 PM Friday, May 24th 10:30 PM Sunday, May 26th 3:00 PM	Fringe Artist,Fringe Volunteer,Student,Senior,Military	Wednesday, May 15th 8:30 PM	Tempestt 3/12		390	http://orlandofringe.showare.com/eventperformances.asp?evt=390
Fish Tales & Swan Songs	BJ & CJ Productions	Orlando	FL	UNITED STATES	BYOV - Black Venue	Theatre	Storytelling,Comedy,Theatre,Play With Songs,2 Hander	13 and up	60	NO	NO	YES	No	12	A theatrical mix of storytelling, music, and multimedia devised to amuse and uplift. A fish, a swan, a fisherman and his wife explore the mysteries of life under the stars.	Married couple and Fringe veterans, Rebecca Fisher & Joe Swanberg, grapple with Humanity's place in the Universe in this funny and poignant search for the answers to Life's Eternal questions: Why are we here? What is my Purpose? What's next? (Is there a Next?) The show is a theatrical mix of storytelling, music and multimedia that is a feast for the eyes and ears, created in collaboration with Chad Lewis & Jason Donnelly (DonLewi' Enterprises).	Fish Tales & Swan Songs	missbeckyfisher			Thursday, May 16th        9:00 PM Friday, May 17th        9:00 PM Saturday, May 18th        3:00 PM Monday, May 20th        7:30 PM Tuesday, May 21st        10:30 PM Saturday, May 25th        6:00 PM Sunday, May 26th        3:00 PM			Tempestt 3/12		391	http://orlandofringe.showare.com/eventperformances.asp?evt=391
FLAME & FORTUNE: The $100-Prize Gayme Show	Wanzie Presents	Orlando	FL	UNITED STATES	BYOV- Starlite Room @ Savoy	Comedy	Comedy,Interactive,Quiz Show,Parody,Award Winning Production Company	18 and up	60	YES	NO	YES	NO	12	Zaniest Game Show Ever hosted by Wanzie & Miss Sammy. Hi-Tech Gaming System. YOU may compete for $100 cash! Comedy. Drag. Parody. Song & Dance. Pure Fringe Escapism. HILARIOUS	Zaniest Game Show Ever hosted by Wanzie & Miss Sammy with a Sophisticated Electronic Gaming System. Real audience-participation competition with $100 cash prize awarded at every show. But wait - There's More! - It's also a parody of TV games shows of yesteryear complete with Live Product Demos (See what comes out of Miss Sammy's Box!) Physical Challenges, Adult Comedy and yes, even a little Song & Dance! It's pure Fringe escapism. Hilarious!				www.Wanzie.com	Friday, May 17th 7:25 PM Saturday, May 18th 5:55 PM Sunday, May 19th 3:20 PM Wednesday, May 22nd 9:20 PM Thursday, May 23rd 11:30 PM Friday, May 24th 9:20 PM Saturday, May 25th 4:00 PM			Tempestt 3/12		392	http://orlandofringe.showare.com/eventperformances.asp?evt=392
Florida Man	Brown Dog	Orlando	FL	UNITED STATES	Yellow	Theatre	Comedy,Theatre,Interactive,Debut,First Time Director	13 and up	60	YES	NO	YES	No	10	Choose your own adventure as darkness rises in the Sunshine State and we learn the truth about the ever-changing life of the legendary Florida Man.	You've seen him on the news...Now, see him at the Fringe! This interactive laugh-out-loud comedy puts you right at the forefront of the legend himself, Florida Man. Follow along as he attempts to reverse his life-long curse and embarks on one of the biggest adventures of his life. Join us at the Yellow Venue and decide which News Headline you would like to see performed on stage! Written by Michael Thibodeau and Directed by J. Scott Browning.	https://www.facebook.com/events/2255259238087820/				Thursday, May 16th        11:00PM Saturday, May 18th        11:00 PM Monday, May 20th        8:00 PM Tuesday, May 21st        6:45 PM Thursday, May 23rd        7:15 PM Friday, May 24th        9:00 PM Saturday, May 25th        10:45 PM	Fringe Artist	Thursday, May 16 11:00 PM	Tempestt 3/12		393	http://orlandofringe.showare.com/eventperformances.asp?evt=393
 Flori-DUH	Mike Delamont	Victoria	British Columbia	CANADA	BYOV- Starlite Room @ Savoy	Comedy	Stand Up,Comedy,Theatre,Satirical,Award Winning Production Company	13 and up	60	NO	NO	YES	No	12	Mike and Morgan are back with an all-new show featuring the bizarre, hilarious, and completely true stories from the headlines of the Sunshine State!	From Mike Delamont (God Is A Scottish Drag Queen) and Morgan Cranny (Vasily Djokavich) comes an all new production of Flori-DUH! The Daily Show meets Weekend Update in this hilarious fringe tradition that has played to sold out houses since 2016! Pulling from the news headlines over the last year, Flori-DUH celebrates the weird, the wonderful, and the absolutely hilarious true stories that could only come from the Sunshine State!	mikedelamont	@themikedelamont	@mikedelamont		Thursday, May 16th 5:45 PM Friday, May 17th 5:45 PM Saturday, May 18th 9:15 PM Sunday, May 19th 1:40 PM Monday, May 20th 9:20 PM Tuesday, May 21st 7:40 PM Wednesday, May 22nd 11:00 PM			Tempestt 3/12		57	http://orlandofringe.showare.com/eventperformances.asp?evt=57
The Flute on its Feet	The Flute on its Feet	New York	NY	UNITED STATES	Silver	Music	Family Friendly,Interactive,Dance,Physical Theatre	All Ages	60	YES	NO	NO	no	12	Inventive music performed upside down, backwards, and on wheels. Flutist Zara Lawler joins C. Neil Parsons (Fruit Flies Like a Banana). �Fascinating and engaging.� - NYTimes	�Fruit Flies Like a Banana� co-creator C. Neil Parsons teams up with Juilliard-trained flutist Zara Lawler to perform inventive music upside down, backwards, and on wheels. Creating a new definition of virtuosity that is at once sophisticated and inviting, �The Flute On Its Feet� explores liberation and confinement, isolation and connection, and the age-old question: is it �flutist� or �flautist?� “Fascinating and engaging.” - NYTimes	TheFluteOnItsFeet	fluteonitsfeet	FluteOnItsFeet	zaralawler.com	Friday, May 17th 6:00 PM Saturday, May 18th 4:30 PM Monday, May 20th 6:30 PM Saturday, May 25th 5:15 PM Sunday, May 26th 10:15 PM	Fringe Artist,Fringe Volunteer,Student,Senior,Military,Theme Park Employee	Friday, May 17th 6:00 PM	Tempestt 3/12		394	http://orlandofringe.showare.com/eventperformances.asp?evt=394
